Region	C-Level	Score ICP	Afinidad Xcapit
LATAM	Si	35	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si		HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	60	HIGH
LATAM	Si	50	HIGH
LATAM	Si	45	HIGH
LATAM	Si		HIGH
LATAM	Si	35	HIGH
LATAM	Si		HIGH
LATAM	Si		HIGH
LATAM	Si	50	HIGH
LATAM	Si	45	HIGH
LATAM	Si	40	HIGH
LATAM	Si	45	HIGH
LATAM	No	40	HIGH
LATAM	Si	45	HIGH
LATAM	Si	50	HIGH
LATAM	No	48	HIGH
LATAM	Si	35	HIGH
LATAM	Si	70	HIGH
LATAM	Si	50	HIGH
LATAM	Si	35	HIGH
LATAM	Si	45	HIGH
LATAM	Si	50	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	MEDIUM
LATAM	Si		MEDIUM
LATAM	No	40	MEDIUM
LATAM	Si	45	MEDIUM
Iberia	No	23	MEDIUM
LATAM	Si	45	MEDIUM
LATAM	Si	45	HIGH
LATAM	Si	50	LOW
LATAM	Si	60	LOW
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	35	HIGH
LATAM	Si	35	HIGH
LATAM	Si		HIGH
LATAM	Si	35	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	45	HIGH
LATAM	Si	53	HIGH
LATAM	Si	50	LOW
LATAM	Si	45	MEDIUM
LATAM	Si	50	MEDIUM
LATAM	No	40	MEDIUM
LATAM	Si	70	MEDIUM
LATAM	No	40	MEDIUM
LATAM	Si	5	LOW
LATAM	No	48	HIGH
LATAM	No		HIGH
LATAM	Si	5	LOW
Iberia	No	40	MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	No		LOW
LATAM	No		LOW
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	No		LOW
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	No		LOW
LATAM	Si		MEDIUM
LATAM	No		LOW
LATAM	Si	81	MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		MEDIUM
LATAM	Si		HIGH
LATAM	No	5	LOW
LATAM	Si	5	LOW
LATAM	No	5	LOW
LATAM	Si	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	Si	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	Si	5	LOW
LATAM	No	5	LOW
LATAM	No	41	MEDIUM
LATAM	No	41	MEDIUM
LATAM	No	51	MEDIUM
LATAM	Si	67	MEDIUM
LATAM	Si	81	HIGH
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	Si	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
LATAM	No	5	LOW
Iberia	Si	67	HIGH
LATAM	Si	71	HIGH
LATAM	Si	35	HIGH
LATAM	No		MEDIUM
LATAM	Si	98	MEDIUM
LATAM	Si	81	HIGH
LATAM	Si	21	HIGH
LATAM	No	13	LOW
LATAM	No	19	LOW
LATAM	No	15	LOW
LATAM	No	15	LOW
LATAM	No	25	LOW
LATAM	Si	25	LOW
LATAM	No	15	LOW
